No,名称,北緯,東経,所在地,備考
1,元和台海浜公園,42.0083333,140.1041666,北海道乙部町,
2,八戸市白浜海水浴場,40.5194444,141.59,青森県八戸市,
3,真崎海岸海水浴場,39.7563888,141.9886111,岩手県宮古市,
4,女遊戸海水浴場,39.6902777,141.9666666,岩手県宮古市,
5,浄土ヶ浜海水浴場,39.6502777,141.98,岩手県宮古市,日本の白砂青松百選・渚百選選定、海の部特選
6,小田の浜海水浴場,38.8522222,141.6219444,宮城県気仙沼市,海の部特選
7,お伊勢浜海水浴場,38.8241666,141.5811111,宮城県気仙沼市,日本の白砂青松百選選定
8,大谷海水浴場,38.8130555,141.5627777,宮城県気仙沼市,
9,小泉海水浴場,38.7722222,141.5161111,宮城県気仙沼市,
10,釜谷浜海水浴場,40.0958333,139.9583333,秋田県三種町,
11,宮沢海水浴場,40.0352777,139.9191666,秋田県男鹿市,
12,象潟海水浴場,39.2063888,139.8947222,秋田県にかほ市,日本の渚百選選定
13,西浜海水浴場,39.0580555,139.8694444,山形県遊佐町,
14,由良海水浴場,38.7227777,139.6888888,山形県鶴岡市,
15,マリンパークねずがせき,38.5566666,139.5438888,山形県鶴岡市,
16,双葉海水浴場,37.455,141.0375,福島県双葉町,
17,伊師浜海水浴場,36.6683333,140.7141666,茨城県日立市,
18,河原子海水浴場,36.5483333,140.6436111,茨城県日立市,
19,水木海水浴場,36.5277777,140.6355555,茨城県日立市,
20,大洗サンビーチ,36.3016666,140.5672222,茨城県大洗町,
21,波崎海水浴場,35.7530555,140.8322222,茨城県神栖市,
22,守谷海水浴場,35.1380555,140.2591666,千葉県勝浦市,日本の渚百選選定
23,和田浦海水浴場,35.0447222,140.0255555,千葉県南房総市,
24,瀬波温泉海水浴場,38.2258333,139.4444444,新潟県村上市,
25,二ツ亀海水浴場,38.3308333,138.4855555,新潟県佐渡市,
26,番神・西番神海水浴場,37.3630555,138.5255555,新潟県柏崎市,
27,宮崎・境海岸海水浴場,36.9747222,137.5986111,富山県朝日町,日本の渚百選選定
28,島尾海水浴場,36.8305555,137.0144444,富山県氷見市,
29,袖ヶ浜海水浴場,37.4022222,136.8952777,石川県輪島市,
30,内灘海水浴場,36.6388888,136.6208333,石川県内灘町,
31,若狭和田海水浴場,35.4930555,135.575,福井県高浜町,
32,白浜中央海水浴場,34.6908333,138.9733333,静岡県下田市,
33,外浦海水浴場,34.6752777,138.9725,静岡県下田市,
34,弓ヶ浜海水浴場,34.6338888,138.8897222,静岡県南伊豆町,日本の白砂青松百選・渚百選選定
35,大瀬海水浴場,35.0247222,138.7861111,静岡県沼津市,
36,御前崎海水浴場,34.6061111,138.2291666,静岡県御前崎市,
37,御座白浜海水浴場,34.2736111,136.7619444,三重県志摩市,
38,新鹿海水浴場,33.93,136.1477777,三重県熊野市,
39,マキノサニービーチ,35.4552777,136.0611111,滋賀県高島市,湖の部特選
40,竹野浜海水浴場,35.6611111,134.7641666,兵庫県豊岡市,
41,浦県民サンビーチ,34.5566666,134.9408333,兵庫県淡路市,
42,大浜海水浴場,34.3419444,134.9030555,兵庫県洲本市,日本の白砂青松百選選定
43,慶野松原海水浴場,34.3419444,134.7383333,兵庫県南あわじ市,日本の白砂青松百選・渚百選選定、海の部特選
44,那智海水浴場,33.6419444,135.9363888,和歌山県那智勝浦町,海の部特選
45,橋杭海水浴場,33.4852777,135.7913888,和歌山県串本町,
46,白良浜海水浴場,33.6825,135.3441666,和歌山県白浜町,日本の渚百選選定
47,片男波海水浴場,34.1791666,135.1741666,和歌山県和歌山市,海の部特選
48,浪早ビーチ,34.1836111,135.1494444,和歌山県和歌山市,
49,砂丘海水浴場,35.5511111,134.2461111,鳥取県鳥取市,
50,白兎海水浴場,35.5261111,134.1166666,鳥取県鳥取市,日本の渚百選選定
51,石脇海水浴場,35.5172222,133.9538888,鳥取県湯梨浜町,
52,島根県立石見海浜公園,34.9516666,132.12,島根県浜田市,
53,渋川海水浴場,34.4547222,133.9036111,岡山県玉野市,
54,県民の浜海水浴場,34.1641666,132.7438888,広島県呉市,日本の渚百選選定
55,片添ヶ浜海水浴場,33.8983333,132.3625,山口県周防大島町,
56,室積海水浴場,33.9411111,131.9652777,山口県光市,日本の白砂青松百選・渚百選選定
57,虹ヶ浜海水浴場,33.9691666,131.9147222,山口県光市,日本の白砂青松百選・渚百選選定
58,土井ヶ浜海水浴場,34.2986111,130.885,山口県下関市,
59,菊ヶ浜海水浴場,34.4169444,131.3897222,山口県萩市,
60,田井の浜海水浴場,33.7713888,134.5813888,徳島県美波町,
61,大砂海水浴場,33.6397222,134.3791666,徳島県海陽町,海の部特選
62,女木島海水浴場,34.3813888,134.0425,香川県高松市,
63,沙弥島海水浴場,34.3477777,133.8219444,香川県坂出市,
64,本島泊海水浴場,34.3808333,133.78,香川県丸亀市,島の部特選
65,松原海水浴場,34.2508333,133.2111111,愛媛県上島町,
66,ヤ・シィパーク海水浴場,33.5338888,133.7516666,高知県香南市,
67,興津海水浴場,33.1669444,133.2005555,高知県四万十町,日本の白砂青松百選選定
68,波津海水浴場,33.8791666,130.5736111,福岡県岡垣町,
69,芥屋海水浴場,33.5858333,130.1086111,福岡県糸島市,
70,辰ノ島海水浴場,33.8666666,129.6758333,長崎県壱岐市,
71,筒城浜海水浴場,33.7561111,129.7897222,長崎県壱岐市,日本の白砂青松百選・渚百選選定
72,根獅子海水浴場,33.2897222,129.4447222,長崎県平戸市,
73,白浜海水浴場,33.1238888,129.6608333,長崎県佐世保市,
74,高浜海水浴場,32.6061111,129.7822222,長崎県長崎市,日本の渚百選選定
75,白浜海水浴場,32.6088888,130.1747222,長崎県南島原市,
76,大浜海水浴場,33.2766666,129.1408333,長崎県佐世保市,
77,蛤浜海水浴場,32.9805555,129.0997222,長崎県新上五島町,
78,高浜海水浴場,32.7088888,128.6608333,長崎県五島市,日本の渚百選選定
79,四郎ヶ浜ビーチ,32.5077777,130.3080555,熊本県天草市,
80,富岡海水浴場,32.5213888,130.0305555,熊本県苓北町,
81,白鶴浜海水浴場,32.3777777,129.9936111,熊本県天草市,日本の白砂青松百選・渚百選選定
82,奈多・狩宿海水浴場,33.44,131.7116666,大分県杵築市,
83,黒島海水浴場,33.1769444,131.8369444,大分県臼杵市,
84,瀬会海水浴場,33.0513888,131.9388888,大分県佐伯市,
85,下阿蘇ビーチ,32.6841666,131.8019444,宮崎県延岡市,海の部特選
86,須美江海水浴場,32.6597222,131.7655555,宮崎県延岡市,
87,伊勢ヶ浜海水浴場,32.4133333,131.6513888,宮崎県日向市,日本の白砂青松百選選定
88,高鍋海水浴場,32.1186111,131.5352777,宮崎県高鍋町,
89,青島海水浴場,31.8105555,131.4586111,宮崎県宮崎市,
90,富土海水浴場,31.6983333,131.4558333,宮崎県日南市,
91,大堂津海水浴場,31.5530555,131.3808333,宮崎県日南市,
92,脇本海水浴場,32.0647222,130.2063888,鹿児島県阿久根市,
93,阿久根大島海水浴場,32.0261111,130.1666666,鹿児島県阿久根市,
94,大浜海浜公園,28.4052777,129.455,鹿児島県奄美市,日本の渚百選選定
95,国営沖縄記念公園　エメラルドビーチ,26.6988888,127.8772222,沖縄県本部町,
96,万座ビーチ,26.5061111,127.8591666,沖縄県恩納村,海の部特選
97,リザンシーパークビーチ,26.4630555,127.8158333,沖縄県恩納村,海の部特選
98,サンマリーナビーチ,26.4622222,127.8116666,沖縄県恩納村,
99,ムーンビーチ,26.4508333,127.8019444,沖縄県恩納村,
100,ルネッサンスビーチ,26.4358333,127.7877777,沖縄県恩納村,海の部特選
