No,名称,北緯,東経,所在地,Link
1,大雪高原温泉の紅葉,43.6261111,142.9305555,北海道上川町,http://www.daisetsuzan.or.jp/
2,卯原内サンゴ草群落,44.0288888,144.0994444,北海道網走市,https://hokkaido-travel.com/flowerviewing/ho0370/
3,サンゴ岬,44.1833333,143.6738888,北海道湧別町,https://good-hokkaido.info/coral-grass-colony-in-saroma/
4,大沼公園,41.9813888,140.6694444,北海道七飯町,http://onumakouen.com/
5,紅葉山,40.6094444,140.6861111,青森県黒石市,https://kuroishi.or.jp/sightseeing/nakanomomijiyama
6,城ヶ倉渓流,40.6491666,140.8297222,青森県青森市,https://www.aptinet.jp/Detail_display_00000652.html
7,奥入瀬渓流,40.5233333,140.9744444,青森県十和田市,http://towadako.or.jp/
8,福泉寺,39.3736111,141.5636111,岩手県遠野市,https://tonojikan.jp/kanko/fukusenji.php
9,久慈渓流,40.1738888,141.6502777,岩手県久慈市,http://kujicity.com/a.kujicity.13kujikeiryu.htm
10,鳴子峡,38.7352777,140.6913888,宮城県大崎市,http://www.naruko.gr.jp/
11,阿武隈ライン,37.9186111,140.6883333,宮城県丸森町,http://www.town.marumori.miyagi.jp/sightseeing/watching/abukuma.html
12,秋ノ宮,38.9594444,140.53,秋田県湯沢市,https://common3.pref.akita.lg.jp/genkimura/area/detail.html?cid=37&id=2760
13,岨谷峡,39.7008333,140.3508333,秋田県秋田市,https://www.tohokukanko.jp/sozaishu/detail_1007340.html
14,赤芝峡,38.0788888,139.7088888,山形県小国町,http://www.town.oguni.yamagata.jp/tourist/map/spot/look/aka/aka.html
15,天元台,37.7788888,140.1366666,山形県米沢市,https://koyo.walkerplus.com/detail/ar0206e12941/
16,田子倉湖,37.3125,139.2825,福島県只見町,https://www.pref.fukushima.lg.jp/sec/41360a/furusatokairou-aki.html
17,霊山,37.7719444,140.6844444,福島県伊達市、相馬市,https://www.city.fukushima-date.lg.jp/soshiki/32/937.html
18,御前山,36.5438888,140.3236111,茨城県城里町,https://www.ibarakiguide.jp/db-kanko/gozenyama_park.html
19,袋田の滝,36.7644444,140.4069444,茨城県大子町,https://www.ibarakiguide.jp/db-kanko/fukuroda_falls.html
20,いろは坂,36.7294444,139.5255555,栃木県日光市,http://www.pref.tochigi.lg.jp/c05/intro/tochigiken/miryoku/nikko/015.html
21,龍王峡,36.8636111,139.7127777,栃木県日光市,http://www.ryuokyo.org/
22,白根山,36.6441666,138.5302777,群馬県草津町,https://yamap.com/mountains/14409
23,妙義山,36.2916666,138.75,群馬県富岡市,https://www.town.shimonita.lg.jp/geopark/m03/m01/m02/01.html
24,中津峡,35.9775,138.8402777,埼玉県秩父市,https://navi.city.chichibu.lg.jp/p_flower/1550/
