No,名称,北緯,東経,現在の市町村名,Link
1,北海道富良野市（麓郷）,43.2997222,142.5236111,北海道富良野市,https://www.furanotourism.com/sp/jp/
2,北海道東川町（東川）,43.7013888,142.5155555,北海道東川町,https://town.higashikawa.hokkaido.jp/
3,北海道美瑛町（美瑛）,43.6066666,142.4591666,北海道美瑛町,https://www.biei-hokkaido.jp/ja/
4,北海道清里町（清里）,43.855,144.6122222,北海道清里町,https://www.kiyosatokankou.com/
5,北海道中標津町（北開陽）,43.615,144.8869444,北海道中標津町,https://kaiyoudai.jp/jp/
6,青森県岩木町（宮地）,40.6169444,140.3994444,青森県弘前市,https://utsukushii-mura.jp/map/iwaki/
7,青森県尾上町（八幡崎）,40.6172222,140.5422222,青森県平川市,http://machinokatachi.main.jp/02/02_yawatazaki.html
8,青森県南郷村（泥障作）,40.4305555,141.4527777,青森県八戸市,https://www.city.hachinohe.aomori.jp/soshikikarasagasu/nangojimusho/1/3898.html
9,岩手県胆沢町（南都田）,39.1369444,141.0858333,岩手県奥州市,https://www.mlit.go.jp/tochimizushigen/mizsei/mizusato/shichoson/tohoku/isawa.htm
10,宮城県蔵王町（蔵王）,38.1019444,140.6475,宮城県蔵王町,http://www.zao-machi.com/
11,秋田県仁賀保町（伊勢居地）,39.2277777,139.9719444,秋田県にかほ市,https://www.nikaho-kanko.jp/
12,秋田県由利町（南由利原）,39.2483333,140.0486111,秋田県由利本荘市,https://yurihonjo-kanko.jp/
13,秋田県東成瀬村（岩井川）,39.1769444,140.7116666,秋田県東成瀬村,https://utsukushii-mura.jp/map/higashinaruse/
14,山形県長井市（平野）,38.0855555,140.0183333,山形県長井市,https://kankou-nagai.jp/
15,山形県南陽市（赤湯）,38.06,140.1808333,山形県南陽市,http://nanyoshi-kanko.jp/
16,山形県金山町（金山）,38.8825,140.3375,山形県金山町,https://www.pref.yamagata.jp/020026/kensei/joho/koho/mailmag/yamagatabiyori/kaneyama.html
17,福島県大玉村（小姓内）,37.5197222,140.3708333,福島県大玉村,https://utsukushii-mura.jp/map/ootama/
18,福島県新地町（中島）,37.8783333,140.9216666,福島県新地町,https://www.shinchi-town.jp/life/3/
