No,温泉名,北緯,東経,所在地,Link
1,菅野温泉,43.3255555,143.0491666,北海道鹿追町,https://www.kanno-onsen.com/spa/
2,養老牛温泉,43.5872222,144.7183333,北海道中標津町,http://www.nemuro.pref.hokkaido.lg.jp/ss/srk/kanko/nmrgsdb/3k-spot/3ks-yourouushi.htm
3,定山渓温泉,42.9644444,141.1625,北海道札幌市,http://jozankei.jp/
4,登別温泉,42.4947222,141.1436111,北海道登別市,http://noboribetsu-spa.jp/
5,洞爺湖温泉,42.5658333,140.8219444,北海道壮瞥町,https://www.laketoya.com/
6,ニセコ温泉郷,42.7980555,140.5980555,北海道ニセコ町,https://www.niseko-ta.jp/
7,朝日温泉,42.9166666,140.4247222,北海道岩内町,https://www.mountaintrad.co.jp/hokkaido/nsk_raiden/asahi/data.html
8,酸ヶ湯温泉,40.6502777,140.8508333,青森県青森市,http://www.sukayu.jp/
9,蔦温泉,40.5969444,140.9530555,青森県十和田市,https://tsutaonsen.com/
10,花巻南温泉峡,39.4652777,140.9916666,岩手県花巻市,https://kenji-hanamaki.com/spa-index/01_hanamakiminami/
11,夏油温泉,39.2125,140.8880555,岩手県北上市,https://www.city.kitakami.iwate.jp/life/kitakamishinoshokai/kitakamishinokanko/4/12644.html
12,須川高原温泉,38.9797222,140.7705555,岩手県一関市,http://sukawaonsen.jp/
13,鳴子温泉郷,38.7425,140.7172222,宮城県大崎市,http://www.naruko.gr.jp/
14,遠刈田温泉,38.1241666,140.5769444,宮城県蔵王町,http://togatta.jp/
15,峩々温泉,38.1444444,140.5005555,宮城県川崎町,https://gagaonsen.com/
16,乳頭温泉郷,39.8041666,140.7980555,秋田県仙北市,http://www.nyuto-onsenkyo.com/
17,後生掛温泉,39.9722222,140.8,秋田県鹿角市,https://www.goshougake.com/
18,玉川温泉,39.9641666,140.7241666,秋田県仙北市,https://www.tamagawa-onsen.jp/
19,秋ノ宮温泉郷,38.9597222,140.5366666,秋田県湯沢市,http://yuzawa-jozo.com/hotel/akinomiya
20,銀山温泉,38.57,140.5308333,山形県尾花沢市,http://www.ginzanonsen.jp/
21,瀬見温泉,38.7541666,140.4127777,山形県最上町,http://www.semi-onsen.co.jp/
22,赤倉温泉,38.7102777,140.5530555,山形県最上町,http://akakura-spa.com/
23,東山温泉,37.4780555,139.9625,福島県会津若松市,https://www.aizu-higashiyama.com/
24,飯坂温泉,37.8319444,140.4502777,福島県福島市,https://iizaka.com/
25,二岐温泉,37.2416666,139.9883333,福島県天栄村,https://www.spa.or.jp/search_p/detail_p/?F_ID=70880&pg=0
26,那須温泉郷,37.0972222,140.0013888,栃木県那須町,http://www.nasuonsen.com/
27,塩原温泉郷,36.9705555,139.8188888,栃木県那須塩原市,http://www.siobara.or.jp/
28,鬼怒川温泉,36.8358333,139.7197222,栃木県日光市,http://www.nikko-kankou.org/spot/51/
29,奥鬼怒温泉郷,36.8661111,139.3883333,栃木県日光市,http://www.nikko-kankou.org/spot/49/
30,草津温泉,36.6227777,138.5966666,群馬県草津町,https://www.kusatsu-onsen.ne.jp/
31,伊香保温泉,36.4969444,138.9155555,群馬県渋川市,https://www.ikaho-kankou.com/
32,四万温泉,36.6816666,138.7802777,群馬県中之条町,https://nakanojo-kanko.jp/shima/
33,法師温泉,36.7438888,138.8297222,群馬県みなかみ町,http://www.hoshi-onsen.com/
34,箱根湯本温泉,35.2291666,139.0986111,神奈川県箱根町,http://www.hakoneyumoto.com/
35,塔之沢温泉,35.2322222,139.0922222,神奈川県箱根町,https://www.hakone.or.jp/6897
36,芦之湯温泉,35.22,139.0413888,神奈川県箱根町,https://www.spa.or.jp/kokumin/1607/
37,湯河原温泉,35.1472222,139.0716666,神奈川県湯河原町,https://www.yugawara.or.jp/
38,越後湯沢温泉,36.9347222,138.8066666,新潟県湯沢町,https://www.e-yuzawa.gr.jp/sys/hotspring/
39,松之山温泉,37.0647222,138.5994444,新潟県十日町市,http://www.matsunoyama.com/%E6%9D%BE%E4%B9%8B%E5%B1%B1%E6%B8%A9%E6%B3%89%E9%83%B7
40,大牧温泉,36.5005555,136.9941666,富山県南砺市,http://www.oomaki.jp/
41,黒部峡谷温泉郷,36.8172222,137.5836111,富山県黒部市,https://www.kurobe-unazuki.jp/tourism_list/onsen/
42,山中温泉,36.2461111,136.3747222,石川県加賀市,https://www.yamanaka-spa.or.jp/
43,山代温泉,36.2897222,136.3647222,石川県加賀市,https://yamashiro-spa.or.jp/
44,粟津温泉,36.3305555,136.4461111,石川県小松市,http://www.awazuonsen.com/
45,奈良田温泉,35.5766666,138.3005555,山梨県早川町,https://www.town.hayakawa.yamanashi.jp/tour/spot/spa/narada.html
46,西山温泉,35.5544444,138.3069444,山梨県早川町,https://www.town.hayakawa.yamanashi.jp/tour/spot/spa/nishiyama.html
47,野沢温泉,36.9247222,138.4488888,長野県野沢温泉村,https://nozawakanko.jp/about/hot_spring/
48,湯田中温泉,36.74,138.4202777,長野県山ノ内町,https://www.yudanaka-onsen.info/p/blog-page_43.html
49,別所温泉,36.3491666,138.1541666,長野県上田市,https://www.bessho-spa.jp/
50,中房温泉,36.3944444,137.7469444,長野県安曇野市,https://nakabusa.com/
51,白骨温泉,36.1536111,137.6263888,長野県松本市,http://www.shirahone.org/
52,小谷温泉,36.8619444,137.9805555,長野県小谷村,https://www.vill.otari.nagano.jp/kanko/spa/
53,下呂温泉,35.8075,137.2402777,岐阜県下呂市,https://www.gero-spa.com/
54,福地温泉,36.2247222,137.5311111,岐阜県高山市,https://www.fukujionsen.com/
55,熱海温泉,35.0975,139.0733333,静岡県熱海市,https://www.atamispa.com/
56,伊東温泉,34.9622222,139.0911111,静岡県伊東市,https://itospa.com/spa/index.html
57,修善寺温泉,34.9697222,138.9272222,静岡県伊豆市,https://www.shuzenji-kankou.com/
58,湯谷温泉,34.9677777,137.6141666,愛知県新城市,http://www.yuya-spa.com/
59,榊原温泉,34.7086111,136.3697222,三重県津市,http://www.sakakibaraonsen.gr.jp/
60,木津温泉,35.6505555,134.9738888,京都府京丹後市,https://www.yuukan.com/spa/
61,有馬温泉,34.7966666,135.2502777,兵庫県神戸市,http://www.arima-onsen.com/
62,城崎温泉,35.6263888,134.8097222,兵庫県豊岡市,https://kinosaki-spa.gr.jp/
63,湯村温泉,35.5547222,134.4880555,兵庫県新温泉町,http://www.yumura.gr.jp/
64,十津川温泉,33.9402777,135.7688888,奈良県十津川村,http://totsukawa.info/joho/totsukawa_onsen_gou/2totsukawa_onsen.html
65,南紀白浜温泉,33.6719444,135.3338888,和歌山県白浜町,http://www.nanki-shirahama.com/onsen/
66,南紀勝浦温泉,33.6266666,135.9511111,和歌山県那智勝浦町,http://katsuuraonsen.jp/
67,湯の峰温泉,33.8291666,135.7575,和歌山県田辺市,https://www.hongu.jp/onsen/yunomine/
68,龍神温泉,33.9558333,135.5622222,和歌山県田辺市,http://www.ryujin-kanko.jp/contents/spa/motoyu.html
69,奥津温泉,35.2233333,133.9202777,岡山県鏡野町,https://www.mto.ne.jp/okutsuonsenkk/
70,湯原温泉郷,35.2036111,133.7319444,岡山県真庭市,https://www.maniwa.or.jp/yubara/
71,三朝温泉,35.4113888,133.895,鳥取県三朝町,https://misasaonsen.jp/
72,岩井温泉,35.5555555,134.3622222,鳥取県岩美町,http://www.yukamuri.net/
73,関金温泉,35.3636111,133.7641666,鳥取県倉吉市,https://www.tottori-guide.jp/tourism/tour/view/177
74,玉造温泉,35.4163888,133.01,島根県松江市,https://www.kankou-shimane.com/destination/20241
75,有福温泉,34.9405555,132.2005555,島根県江津市,https://www.kankou-shimane.com/destination/20285
76,温泉津温泉,35.0919444,132.3469444,島根県大田市,https://www.yunotsu.com/
77,湯田温泉,34.1644444,131.455,山口県山口市,http://www.yudaonsen.com/
78,長門湯本温泉,34.3283333,131.1725,山口県長門市,https://yumotoonsen.com/
79,祖谷温泉,33.9208333,133.8147222,徳島県三好市,https://www.iyaonsen.co.jp/
80,道後温泉,33.8527777,132.7883333,愛媛県松山市,https://dogo.jp/
81,二日市温泉,33.4908333,130.5144444,福岡県筑紫野市,http://www.chikushino.org/onsen/
82,嬉野温泉,33.0969444,129.9852777,佐賀県嬉野市,https://spa-u.net/
83,武雄温泉,33.1963888,130.0144444,佐賀県武雄市,http://www.takeo-kk.net/spa/
84,雲仙温泉,32.74,130.2605555,長崎県雲仙市,http://www.unzen.org/
85,小浜温泉,32.7241666,130.2072222,長崎県雲仙市,https://obama.or.jp/
86,黒川温泉,33.0775,131.1427777,熊本県小国町,https://www.kurokawaonsen.or.jp/
87,地獄温泉,32.8605555,131.0358333,熊本県南阿蘇村,http://jigoku-onsen.co.jp/#
88,垂玉温泉,32.8622222,131.0355555,熊本県南阿蘇村,https://tarutama.jp/
89,杖立温泉,33.1833333,131.0325,熊本県小国町,https://tsuetate-onsen.com/
90,日奈久温泉,32.4325,130.575,熊本県八代市,http://www.hinagu.jp/
91,鉄輪温泉,33.3158333,131.4752777,大分県別府市,https://kannawaonsen.com/
92,明礬温泉,33.3175,131.4516666,大分県別府市,http://www.gokuraku-jigoku-beppu.com/entries/complete-guide-myouban
93,由布院温泉,33.2663888,131.3625,大分県由布市,http://www.yufuin.gr.jp/
94,川底温泉,33.1869444,131.1466666,大分県九重町,https://www.kawazoko-onsen.com/
95,長湯温泉,33.0694444,131.3836111,大分県竹田市,https://nagayu-onsen.jp/
96,京町温泉,32.0377777,130.7541666,宮崎県えびの市,https://www.kyomachionsen.com/
97,指宿温泉,31.2291666,130.6522222,鹿児島県指宿市,https://www.ibusuki.or.jp/spa/
98,霧島温泉郷,31.8944444,130.8283333,鹿児島県霧島市,https://www.spa.or.jp/kokumin/1148/
99,新川渓谷温泉郷,31.82,130.7569444,鹿児島県霧島市,https://www.spa.or.jp/search_p/detail_p/?F_ID=461160&pg=0
100,栗野岳温泉,31.9555555,130.78,鹿児島県湧水町,https://www.spa.or.jp/search_p/detail_p/?F_ID=460860&pg=0
