No,名称,北緯,東経,所在地,Link
1,根室半島チャシ跡群,43.3827777,145.8141666,北海道根室市,https://www.100finecastles.com/castles/nemurohantochashiatogun/
2,五稜郭,41.7972222,140.7569444,北海道函館市,https://www.100finecastles.com/castles/goryokaku/
3,松前城（福山城）,41.4297222,140.1083333,北海道松前町,https://www.100finecastles.com/castles/matsumaejo/
4,弘前城,40.6075,140.4638888,青森県弘前市,https://www.100finecastles.com/castles/hirosakijo/
5,根城,40.5061111,141.4605555,青森県八戸市,https://www.100finecastles.com/castles/nejo/
6,盛岡城,39.7005555,141.15,岩手県盛岡市,https://www.100finecastles.com/castles/moriokajo/
7,多賀城,38.3066666,140.9883333,宮城県多賀城市,https://www.100finecastles.com/castles/tagajo/
8,仙台城（青葉城）,38.2530555,140.8555555,宮城県仙台市,https://www.100finecastles.com/castles/sendaijo/
9,久保田城,39.7227777,140.1236111,秋田県秋田市,https://www.100finecastles.com/castles/kubotajo/
10,山形城,38.2555555,140.3283333,山形県山形市,https://www.100finecastles.com/castles/yamagatajo/
11,二本松城（霞ヶ城）,37.5994444,140.4277777,福島県二本松市,https://www.100finecastles.com/castles/nihonmatsujo/
12,会津若松城,37.4875,139.9297222,福島県会津若松市,https://www.100finecastles.com/castles/wakamatsujo/
13,白河小峰城,37.1325,140.2133333,福島県白河市,https://www.100finecastles.com/castles/shirakawakominejo/
14,水戸城,36.3752777,140.4769444,茨城県水戸市,https://www.100finecastles.com/castles/mitojo/
15,足利氏館(鑁阿寺),36.3375,139.4522222,栃木県足利市,https://www.100finecastles.com/castles/ashikagashiyakata/
16,箕輪城,36.405,138.9508333,群馬県高崎市,https://www.100finecastles.com/castles/minowajo/
17,金山城,36.3169444,139.3777777,群馬県太田市,https://www.100finecastles.com/castles/kanayamajo/
18,鉢形城,36.1091666,139.1958333,埼玉県寄居町,https://www.100finecastles.com/castles/hachigatajo/
19,川越城,35.9247222,139.4913888,埼玉県川越市,https://www.100finecastles.com/castles/kawagoejo/
20,佐倉城,35.7222222,140.2158333,千葉県佐倉市,https://www.100finecastles.com/castles/sakurajo/
21,江戸城,35.6872222,139.7552777,東京都千代田区,https://www.100finecastles.com/castles/edojo/
22,八王子城,35.6530555,139.2527777,東京都八王子市,https://www.100finecastles.com/castles/hachiojijo/
23,小田原城,35.2513888,139.1536111,神奈川県小田原市,https://www.100finecastles.com/castles/odawarajo/
24,武田氏館(武田神社),35.6866666,138.5766666,山梨県甲府市,https://www.100finecastles.com/castles/takedashiyakata/
25,甲府城,35.6652777,138.5713888,山梨県甲府市,https://www.100finecastles.com/castles/kofujo/
26,松代城,36.5658333,138.1958333,長野県長野市,https://www.100finecastles.com/castles/matsushirojo/
27,上田城,36.4036111,138.2444444,長野県上田市,https://www.100finecastles.com/castles/uedajo/
