No,名称,北緯,東経,所在地,備考
1,函館山,41.7591666,140.7044444,北海道函館市,日本三大夜景
2,藻岩山,43.0222222,141.3222222,北海道札幌市,
3,天狗山,43.1716666,140.9722222,北海道小樽市,
4,JRタワー展望室T38,43.0680555,141.3525,北海道札幌市,
5,釜臥山,41.2786111,141.1194444,青森県むつ市,
6,ホテルヴィラシティー雲谷,40.7369444,140.7875,青森県青森市,
7,岩山公園,39.6994444,141.1830555,岩手県盛岡市,
8,住友生命仙台中央ビル(SS30),38.2561111,140.8780555,宮城県仙台市,
9,セリオン,39.7525,140.0611111,秋田県秋田市,
10,舞鶴公園,38.3555555,140.3761111,山形県天童市,
11,眺海の森,38.8591666,139.9794444,山形県酒田市,
12,信夫山,37.7691666,140.4658333,福島県福島市,
13,筑波山･表筑波スカイライン,36.2261111,140.1011111,茨城県つくば市･石岡市,
14,太平山,36.3647222,139.6902777,栃木県栃木市,
15,織姫公園,36.3411111,139.4458333,栃木県足利市,
16,群馬県庁展望ホール,36.3911111,139.0608333,群馬県前橋市,
17,大パノラマ夜景展望台,36.5127777,139.1836111,群馬県前橋市,
18,埼玉県美の山公園,36.0552777,139.1147222,埼玉県秩父市,
19,きみさらずタワー,35.3797222,139.9377777,千葉県木更津市,
20,飯岡刑部岬,35.6933333,140.7377777,千葉県旭市,
21,東京タワー,35.6586111,139.7452777,東京都港区,
22,六本木ヒルズ大展望台 東京シティビュー,35.6602777,139.7291666,東京都港区,
23,都庁,35.6897222,139.6916666,東京都新宿区,
24,サンシャイン60,35.7294444,139.7177777,東京都豊島区,
25,神奈川県ランドマークタワー スカイガーデン,35.4544444,139.6313888,神奈川県横浜市,
26,横浜港大さん橋国際客船ターミナル,35.4508333,139.6469444,神奈川県横浜市,
27,湘南平,35.3197222,139.3083333,神奈川県平塚市,
28,菜の花台,35.4105555,139.2094444,神奈川県秦野市,
29,笛吹川フルーツ公園,35.7033333,138.6661111,山梨県山梨市,新日本三大夜景
30,新倉浅間神社,35.5011111,138.8011111,山梨県富士吉田市,
31,朱鷺メッセ展望室,37.9258333,139.0597222,新潟県新潟市,
32,弥彦山,37.7044444,138.8033333,新潟県弥彦村,
33,富山市役所,36.6958333,137.2136111,富山県富山市,
34,二上山,36.79,137.0152777,富山県高岡市,
35,卯辰山,36.5708333,136.6775,石川県金沢市,
36,石川県庁,36.595,136.625,石川県金沢市,
