No,名称,北緯,東経,所在地,Link
1,土橋自然観察教育林,41.9136111,140.2144444,北海道厚沢部町,http://www.pref.hokkaido.lg.jp/sr/sky/homepage/katuyou/taiken/05fields/5-03hiyama/data/fl017.htm
2,裾合平,43.6791666,142.8444444,北海道東川町,https://yamap.com/model-courses/136
3,ポロトの森,42.5752777,141.3502777,北海道白老町,https://walking.style/walk/716738/
4,種差海岸,40.5152777,141.6044444,青森県八戸市,https://www.aptinet.jp/Detail_display_00000030.html
5,奥入瀬渓流と蔦沼,40.5994444,140.9505555,青森県十和田市,https://gurutabi.gnavi.co.jp/a/a_1414/
6,遠野エリア,39.3555555,141.5680555,岩手県遠野市,https://tonojikan.jp/2019041829/5204/
7,安比高原ブナの二次林,40.0088888,140.9572222,岩手県八幡平市,https://www.rinya.maff.go.jp/tohoku/syo/iwatehokubu/buna/nijirin.html
8,北山崎自然遊歩道,39.9713888,141.9516666,岩手県田野畑村、普代村,https://www.vill.tanohata.iwate.jp/kankou/see/park-kitayamazaki-yuhodo.html
9,白石川堤,38.0488888,140.7383333,宮城県大河原町,https://gogo-miyagi.com/26
10,奥松島嵯峨渓,38.3280555,141.1697222,宮城県東松島市,https://www.pref.miyagi.jp/soshiki/kankou/sightseeing-walk25.html
11,奥の細道象潟九十九島,39.2197222,139.9077777,秋田県にかほ市,http://senbonzakura.skr.jp/05hosomichi/05akita/001kisakata/kisakata.htm
12,六郷湧水群,39.4211111,140.5452777,秋田県美郷町,https://www.town.misato.akita.jp/yuusui/1176.html
13,蔵王高原坊平,38.125,140.3994444,山形県上山市,https://yamap.com/activities/342790
14,眺海の森,38.8555555,139.9827777,山形県酒田市,https://yamagatakanko.com/attractions/detail_4113.html
15,最上川舟唄のふる里,38.3727777,140.2125,山形県大江町,https://michinoeki.xyz/content/%E6%9C%80%E4%B8%8A%E5%B7%9D%E8%88%9F%E5%94%84%E3%81%AE%E3%81%B5%E3%82%8B%E9%87%8C
16,四時川渓谷里山,36.9283333,140.6761111,福島県いわき市,http://www.city.iwaki.lg.jp/www/contents/1486020697451/index.html
17,下野街道,37.3338888,139.8608333,福島県下郷町、会津美里町,https://bunka.nii.ac.jp/heritages/detail/140124
18,只見川周辺,37.5313888,139.7244444,福島県柳津町,http://www.mishima-kankou.net/%E3%80%8E%E5%8F%AA%E8%A6%8B%E5%B7%9D%E3%83%93%E3%83%A5%E3%83%BC%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88%E9%81%8A%E6%AD%A9%E9%81%93%E3%80%8F%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%E3%81%AE%E3%81%8A%E7%9F%A5/
19,裏磐梯高原,37.6522222,140.0780555,福島県北塩原村,https://www.urabandai-inf.com/?page_id=25556
20,歴史の里,36.5425,140.5138888,茨城県常陸太田市,http://www.kanko-hitachiota.com/page/page000028.html
21,自然公園と三名所,36.3416666,139.4458333,栃木県足利市,https://www.ashikaga.info/kaiyumap-3/ashikaga3meisho-bunkazai/content4.html
22,もうひとつの日光,36.755,139.6036111,栃木県日光市,http://blog.livedoor.jp/club007/archives/33469192.html
23,塩原渓谷歩道,36.9658333,139.8519444,栃木県那須塩原市,http://shiobara.shokokai-tochigi.or.jp/chiiki-shizen.html
24,野反湖,36.7169444,138.6391666,群馬県中之条町,https://gunma-dc.net/yamatabi/nozoriko/report
25,蔵造りの町並み,35.9241666,139.4827777,埼玉県川越市,https://www.city.kawagoe.saitama.jp/koedo90/course/pdf/c48.pdf
26,草加松原,35.8416666,139.805,埼玉県草加市,http://www.city.soka.saitama.jp/cont/s1410/010/020/010/01.html
27,北総の小江戸,35.8888888,140.4977777,千葉県香取市,https://style.nikkei.com/article/DGXMZO42580500X10C19A3000000/
28,千倉の花畑,34.9330555,139.9527777,千葉県南房総市,https://www.mboso-etoko.jp/c_course/c36.html
29,江戸文化の町,35.6963888,139.7958333,東京都墨田区、江東区,https://www.city.koto.lg.jp/260353/fukushi/hoken/eyo/documents/walkingmap-1.pdf
30,開港の道,35.4530555,139.6352777,神奈川県横浜市,https://trip.pref.kanagawa.jp/ja/trip/port-of-yokohama-walking-tour/166
31,西さがみ連邦共和国,35.2563888,139.1547222,神奈川県小田原市、箱根町、真鶴町、湯河原町,https://www.city.odawara.kanagawa.jp/kanko/walking/
32,福島潟,37.9133333,139.2441666,新潟県新潟市,http://www.pavc.ne.jp/~hishikui/parkmap.html
33,銀山平,37.1369444,139.155,新潟県魚沼市,http://snow-country.jp/?a=contents&id=845
34,斑尾高原,36.8575,138.2908333,新潟県妙高市,https://www.mtlabs.co.jp/shinshu/hike/madarao.htm
35,松田江の長浜,36.8341666,137.0091666,富山県氷見市,https://www.info-toyama.com/s/spot/21022/
36,黒部市生地,36.8922222,137.4186111,富山県黒部市,http://ikuji-machiaruki-guide.com/
37,石動の寺と石仏,36.6761111,136.8666666,富山県小矢部市,http://www.yoshinaka.info/?page_id=9
38,ひがし茶屋街と心の道,36.5730555,136.6663888,石川県金沢市,https://k-jj.kanazawa-kankoukyoukai.or.jp/special/detail.php?fe_no=33
