No,区間名,北緯,東経,所在地,Link,路線名
1,抜海―南稚内,45.3166666,141.6447222,北海道稚内市,https://travellovers.jp/2020/05/12/post-2121/,宗谷本線
2,佐久―音威子府,44.7441666,142.0486111,北海道中川町,http://kam-r.sub.jp/ainu/9sou2.html,宗谷本線
3,北浜―知床斜里,43.9583333,144.3522222,北海道網走市,https://www.tomotabitrip.com/entry/2020/02/15/184500,釧網本線
4,釧路湿原―茅沼,43.1002777,144.4477777,北海道釧路町,https://www.kzlifelog.com/entry/jrh-senmo-line-report,釧網本線
5,別当賀―昆布盛,43.2183333,145.4236111,北海道根室市,http://kame2.com/menu/camera241-260/c260nemuro.htm,根室本線
6,厚岸―糸魚沢,43.0561111,144.8411111,北海道厚岸町,https://ameblo.jp/kokuritukouentetudou/entry-12627556382.html,根室本線
7,落合―新得,43.125,142.6688888,北海道南富良野町,https://4travel.jp/travelogue/11399147,根室本線
8,布部―金山,43.2916666,142.4,北海道富良野市,https://otarunet.com/life/local_info/nunobe-simokanayama/,根室本線
9,美瑛―富良野,43.5911111,142.4616666,北海道美瑛町,https://digjapan.travel/blog/id=11637,富良野線
10,新夕張―トマム,42.9363888,142.0358333,北海道夕張市,https://www.onitoge.org/tetsu/sekisho/index.htm,石勝線
11,日高門別―東静内,42.4811111,142.0725,北海道日高町,https://www.onitoge.org/tetsu/hidaka/index.htm,日高本線
12,朝里―銭函,43.1766666,141.0638888,北海道小樽市,https://keiichinishimura.com/zenibako-sea/,函館本線
13,銀山―ニセコ,43.0413888,140.7147222,北海道仁木町,http://www7b.biglobe.ne.jp/~kemunyan/c62niseko003.html,函館本線
14,仁山―駒ヶ岳,41.93,140.635,北海道七飯町,http://www.kukanzeneki.net/all/hako-mori/11.html,函館本線
15,深郷田―芦野公園,40.9511111,140.4411111,青森県中泊町,https://tsutetsu.com/ensenguide.html,津軽鉄道
16,艫作―千畳敷,40.6086111,139.8647222,青森県深浦町,https://www.jreast.co.jp/akita/gonosen/menu/12.html,五能線
17,阿仁マタギ―阿仁前田,39.9194444,140.5155555,秋田県北秋田市,https://www.akita-nairiku.com/,秋田内陸縦貫鉄道
18,松尾八幡平―安比高原,39.9691666,141.0438888,岩手県八幡平市,https://tamanekotravel.com/iwate/%E8%8A%B1%E8%BC%AA%E7%B7%9A-%E8%BB%8A%E7%AA%93%E3%81%8B%E3%82%89%E8%A6%8B%E3%82%8B%E5%A4%8F%E3%81%AE%E5%85%AB%E5%B9%A1%E5%B9%B3-%E5%AE%89%E6%AF%94%E9%AB%98%E5%8E%9F-%E7%B1%B3%E4%BB%A3%E5%B7%9D/,花輪線
19,押角―浅内,39.7238888,141.6930555,岩手県宮古市,http://tetsurohyakkei.web5.jp/tetsurohyakkei.gallery0703.html,岩泉線
20,上有住―陸中大橋,39.2419444,141.6813888,岩手県住田町,https://ameblo.jp/s-limited-express/entry-12489728253.html,釜石線
21,沢田―浦宿,38.4322222,141.3822222,宮城県石巻市,http://toretabi246.blog.jp/archives/25055896.html,石巻線
22,東名―陸前富山,38.3702777,141.1425,宮城県東松島市,https://railway-topic-kh8000show.net/2019/08/15/%E3%80%90%E4%BB%99%E7%9F%B3%E7%B7%9A%E3%81%AE%E7%B5%B6%E6%99%AF%E8%BB%8A%E7%AA%93%E3%81%AF%E9%AB%98%E5%9F%8E%E7%94%BA%EF%BD%9E%E9%99%B8%E5%89%8D%E5%B0%8F%E9%87%8E%E3%81%AE%E9%96%93%EF%BC%81%E4%BB%99/,仙石線
23,あぶくま―丸森,37.9133333,140.6855555,宮城県丸森町,http://marumori.jp/blog/2019070332524/,阿武隈急行
24,藤田―貝田,37.8788888,140.5394444,福島県国見町,https://4travel.jp/travelogue/11238430,東北本線
25,磐梯町―翁島,37.5575,139.9933333,福島県磐梯町,https://ameblo.jp/kokuritukouentetudou/entry-12611516911.html,磐越西線
26,野沢―日出谷,37.5908333,139.6444444,福島県西会津町,http://shinanomachi.cocolog-nifty.com/blog/2012/06/12-5300.html,磐越西線
27,桑川―越後寒川,38.375,139.4586111,新潟県村上市,https://railway-journey.com/uetsu-line/,羽越本線
28,会津塩沢―大白川,37.3936111,139.355,福島県只見町,https://tadami-line.jp/station_entry/26/#st_anc,只見線
29,久ノ浜―広野,37.1425,140.9958333,福島県いわき市,https://www.tttable.co.jp/post/%E5%B8%B8%E7%A3%90%E7%B7%9A%E3%81%82%E3%82%8C%E3%81%93%E3%82%8Cvol-3,常磐線
30,浅草―業平橋,35.7119444,139.7983333,東京都台東区,https://omatsurijapan.com/blog/tokyoskytreeline-shasouhanami/,東武伊勢崎線
31,土合―湯檜曽（上りのみ）,36.8305555,138.9677777,群馬県みなかみ町,https://www.travel.co.jp/guide/article/34934/,上越線
32,安中―横川,36.3316666,138.9144444,群馬県安中市,https://www.jreast.co.jp/railway/joyful/slgunma.html,信越本線
33,本宿―通洞,36.4813888,139.2591666,群馬県桐生市,https://www.watetsu.com/train/local.php,わたらせ渓谷鐵道
34,浅野―海芝浦,35.4975,139.6955555,神奈川県横浜市,https://4travel.jp/travelogue/10910306,鶴見線
35,田浦―横須賀,35.2927777,139.6375,神奈川県横須賀市,http://zekkeieki.com/?p=471,横須賀線
36,追浜－汐入,35.3158333,139.6247222,神奈川県横須賀市,https://tetsudo-ch.com/10131484.html,京急本線
